2025-07-17 09:55:33 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:03:14 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:03:14 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:05:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:05:25 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:05:25 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:25 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:25 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:07:33 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:07:33 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:07:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:11:40 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:11:40 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:11:40 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:40 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:40 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:17:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:17:21 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:17:21 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:21 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:17:21 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:22:31 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:22:31 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:22:32 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:32 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:22:32 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:27:11 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 10:27:11 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 10:27:11 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:11 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:11 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:30:57 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
