2025-07-17 09:52:53 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:52:53 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:53 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:53 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 09:55:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 09:55:38 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 09:55:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:03:22 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
