2025-07-19 20:13:14 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:13:14 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:13:14 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 20:18:35 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 20:18:35 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 20:18:37 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:18:37 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:18:37 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 22:56:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 22:56:15 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 22:56:17 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 22:56:17 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 22:56:17 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 22:58:39 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 22:58:39 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 22:58:41 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 22:58:41 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 22:58:41 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:18:29 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:18:29 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:18:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:18:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:18:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:24:05 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:24:05 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:24:07 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:24:07 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:24:07 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 23:24:46 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 23:24:46 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 23:24:47 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 23:24:47 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
